Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
5,1,0.4388567865010242,0.015378952026367188
5,1,0.6366621486807105,0.01275491714477539
5,1,0.5960835894876055,0.012336254119873047
5,1,0.5863368594904758,0.01202082633972168
5,1,0.528022876978556,0.013687610626220703
5,1,0.5093767010932082,0.013839960098266602
5,1,0.5178108366774167,0.015744924545288086
5,1,0.6872771549193508,0.013743162155151367
5,1,0.4596937043275212,0.012424945831298828
5,1,0.4420189961368204,0.012501955032348633
5,1,0.45547364288801395,0.012404918670654297
5,1,0.5099693890774573,0.012344837188720703
5,1,0.5321677185438998,0.011703014373779297
5,1,0.4778296827054988,0.012220144271850586
5,1,0.6254165794270713,0.012600898742675781
5,1,0.6210750956747781,0.012357950210571289
5,1,0.6040893345609379,0.012179136276245117
5,1,0.5274699191097907,0.012051820755004883
5,1,0.6164357673966454,0.011775016784667969
5,1,0.5260560936568517,0.012743949890136719
5,1,0.39130337615960975,0.011504173278808594
5,1,0.1476638357125262,0.012064933776855469
5,1,0.6220645963141842,0.014801263809204102
5,1,0.5730862778771898,0.012173175811767578
5,1,0.6588451066965942,0.012986898422241211
5,1,0.593817880389354,0.012579917907714844
5,1,0.7256311437624826,0.01301121711730957
5,1,0.586298969233018,0.012577056884765625
6,1,0.6451240897047873,0.015939712524414062
6,1,0.6111037987350989,0.012423992156982422
6,1,0.5010520456505526,0.01281595230102539
6,1,0.5279819195027611,0.012639045715332031
6,1,0.6381438278914993,0.013648033142089844
6,1,0.6205982439464214,0.012554168701171875
6,1,0.5271410432523129,0.016861915588378906
6,1,0.5888957939455575,0.012637138366699219
6,1,0.6267211343237732,0.01178121566772461
6,1,0.6448299404499244,0.013578176498413086
6,1,0.5699403840999552,0.019921064376831055
6,1,0.41108199380170063,0.013134002685546875
6,1,0.5688557108559866,0.012663841247558594
6,1,0.6172252168720243,0.01657581329345703
6,1,0.6859874469775317,0.016022205352783203
6,1,0.5968920086704324,0.016508102416992188
6,1,0.5545555957132322,0.01330709457397461
6,1,0.4577720290842864,0.013511896133422852
6,1,0.5460542412541389,0.012215137481689453
6,1,0.626740189775615,0.012176036834716797
6,1,0.6777148326797539,0.01323699951171875
6,1,0.5391356651435893,0.011631011962890625
6,1,0.6126018168066274,0.011898040771484375
6,1,0.5317568358690515,0.014225006103515625
6,1,0.5478500342345876,0.013828039169311523
6,1,0.6260404786777435,0.018134117126464844
6,1,0.6526973152337685,0.016507863998413086
6,1,0.6636142940774054,0.041172027587890625
6,1,0.7028442437624014,0.013582944869995117
6,1,0.5801610401628758,0.01259303092956543
7,1,0.5752506574094277,0.012555837631225586
7,1,0.6251680865076606,0.013632059097290039
7,1,0.6103177424500739,0.012371063232421875
7,1,0.6327145826596569,0.013416051864624023
7,1,0.6078209104696962,0.01559901237487793
7,1,0.6464866307080207,0.01292276382446289
7,1,0.6134621212824032,0.01367497444152832
7,1,0.5397783401543791,0.01207280158996582
7,1,0.5884130338801598,0.012735128402709961
7,1,0.5234525951799245,0.012708187103271484
7,1,0.596664037538799,0.012879133224487305
7,1,0.5360391664165475,0.013267993927001953
7,1,0.6067308564019867,0.013456106185913086
7,1,0.6000523677983733,0.012469053268432617
7,1,0.6062990239275403,0.012938976287841797
7,1,0.6386576011183027,0.014182090759277344
7,1,0.6372800817369594,0.012175798416137695
7,1,0.6730418964931176,0.012920141220092773
