,Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
274,10.0,1.0,1.0,0.0071258544921875
275,10.0,1.0,1.0,0.007620096206665039
276,10.0,1.0,1.0,0.008781194686889648
277,10.0,1.0,1.0,0.008350133895874023
278,10.0,1.0,1.0,0.009239912033081055
279,10.0,1.0,1.0,0.007695913314819336
280,10.0,1.0,1.0,0.008263111114501953
281,10.0,1.0,1.0,0.010266780853271484
282,10.0,1.0,1.0,0.008992910385131836
283,10.0,1.0,1.0,0.008290767669677734
284,10.0,1.0,1.0,0.00851893424987793
285,10.0,1.0,1.0,0.00830698013305664
286,10.0,1.0,1.0,0.007608175277709961
287,10.0,1.0,1.0,0.00880289077758789
288,10.0,1.0,1.0,0.007275819778442383
289,10.0,1.0,1.0,0.008961915969848633
290,10.0,1.0,1.0,0.008257865905761719
291,10.0,1.0,1.0,0.007927894592285156
292,10.0,1.0,1.0,0.00795888900756836
293,10.0,1.0,1.0,0.010776042938232422
294,10.0,1.0,1.0,0.008144140243530273
295,10.0,1.0,1.0,0.00856328010559082
296,10.0,1.0,1.0,0.009384870529174805
297,10.0,1.0,1.0,0.00830698013305664
298,10.0,1.0,1.0,0.008235931396484375
299,10.0,1.0,1.0,0.0075032711029052734
300,11.0,1.0,1.0,0.008065938949584961
301,11.0,1.0,1.0,0.00747990608215332
302,11.0,1.0,1.0,0.009119987487792969
303,11.0,1.0,1.0,0.010658979415893555
304,11.0,1.0,1.0,0.009228944778442383
305,11.0,1.0,1.0,0.008805990219116211
306,11.0,1.0,1.0,0.007581233978271484
307,11.0,1.0,1.0,0.00768280029296875
308,11.0,1.0,1.0,0.00761103630065918
309,11.0,1.0,1.0,0.007989883422851562
310,11.0,1.0,1.0,0.009103775024414062
311,11.0,1.0,1.0,0.008634805679321289
312,11.0,1.0,1.0,0.00823211669921875
313,11.0,1.0,1.0,0.013725996017456055
314,11.0,1.0,1.0,0.008069038391113281
315,11.0,1.0,1.0,0.00803685188293457
316,11.0,1.0,1.0,0.008362054824829102
317,11.0,1.0,1.0,0.007473945617675781
318,11.0,1.0,1.0,0.009009838104248047
319,11.0,1.0,1.0,0.008252143859863281
320,11.0,1.0,1.0,0.009133100509643555
321,11.0,1.0,1.0,0.007927179336547852
322,11.0,1.0,1.0,0.009095907211303711
323,11.0,1.0,1.0,0.008536815643310547
324,11.0,1.0,1.0,0.008156776428222656
325,11.0,1.0,1.0,0.008973121643066406
326,11.0,1.0,1.0,0.008166790008544922
327,11.0,1.0,1.0,0.0139617919921875
328,11.0,1.0,1.0,0.008430719375610352
329,11.0,1.0,1.0,0.007555246353149414
330,12.0,1.0,1.0,0.008202075958251953
331,12.0,1.0,1.0,0.008550167083740234
332,12.0,1.0,1.0,0.009721994400024414
333,12.0,1.0,1.0,0.007862091064453125
334,12.0,1.0,1.0,0.008152246475219727
335,12.0,1.0,1.0,0.007718086242675781
336,12.0,1.0,1.0,0.008332967758178711
337,12.0,1.0,1.0,0.008491992950439453
338,12.0,1.0,1.0,0.008238077163696289
339,12.0,1.0,1.0,0.008466005325317383
340,12.0,1.0,1.0,0.00847005844116211
341,12.0,1.0,1.0,0.0083770751953125
